epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5284.46,1.44359,0.77378,1.01045,0.81746,0.53257,0.60749,0.32303,1.42679,0.72275,1.02663,0.0670205,0.000333126,0.000333126
2,10192.9,1.42252,0.74243,1.0028,0.83119,0.56341,0.64211,0.34459,1.39773,0.67696,1.02445,0.0339872,0.00063317,0.00063317
3,15190.8,1.41141,0.72516,0.99919,0.8297,0.57097,0.6462,0.34987,1.39328,0.65936,1.02119,0.000920618,0.000899914,0.000899914
4,21815.4,1.41649,0.72368,1.00229,0.83702,0.56862,0.64625,0.34886,1.37773,0.66275,1.01824,0.00085015,0.00085015,0.00085015
